period,wrk2id,wrk1id,w1,w2,e1,e2,pubwage
2,64,71,1,1,1,2,0
3,65,68,1,2,1,1,0
3,64,62,1,2,3,2,0
3,66,71,1,3,2,3,0
3,67,72,1,1,0,0,0
4,64,71,1,3,0,0,0
4,65,72,1,2,0,1,0
4,67,62,1,2,0,1,0
4,66,68,1,2,0,1,0
5,67,71,1,2,0,1,0
5,66,68,1,2,0,1,0
5,64,62,1,2,0,0,0
5,65,72,1,1,0,1,0
6,66,68,1,2,1,2,0
6,67,62,1,3,0,2,0
6,64,71,0,1,0,2,0
6,65,72,1,1,0,2,0
7,64,72,1,2,0,2,0
7,66,62,3,1,0,0,0
7,67,71,1,1,1,0,0
7,65,68,1,2,1,2,0
8,66,68,1,2,1,2,0
8,67,71,1,2,1,1,0
8,64,62,1,1,0,0,0
8,65,72,1,2,0,2,0
9,65,68,1,2,1,2,0
9,64,71,1,2,0,0,0
9,67,72,0,2,0,1,0
9,66,62,0,2,0,1,0
10,67,62,1,2,1,1,0
10,64,72,1,2,0,0,0
10,65,71,0,1,0,0,0
10,66,68,0,2,0,2,0
11,66,71,1,2,0,3,1
11,67,72,2,2,0,1,1
11,65,68,2,2,2,2,1
11,64,62,1,1,0,0,1
12,67,71,1,2,1,1,1
12,64,72,1,2,0,0,1
12,65,68,1,2,1,1,1
12,66,62,1,1,0,1,1
13,66,72,1,2,0,2,1
13,65,71,1,2,0,2,1
13,67,68,0,2,0,2,1
13,64,62,0,2,0,0,1
14,65,68,0,2,0,1,1
14,64,72,1,2,0,0,1
14,66,62,0,2,0,3,1
14,67,71,1,1,1,0,1
15,65,62,0,2,1,2,1
15,64,72,1,3,0,0,1
15,67,71,0,3,0,2,1
15,66,68,1,1,1,1,1
16,65,68,0,2,0,1,1
16,67,62,1,2,1,1,1
16,66,71,1,3,1,3,1
16,64,72,1,1,0,0,1
17,66,71,1,2,0,1,1
17,65,62,2,2,0,2,1
17,67,72,1,3,0,2,1
17,64,68,1,1,1,1,1
18,66,71,0,2,0,2,1
18,64,68,1,2,0,0,1
18,67,62,1,3,0,2,1
18,65,72,1,1,0,1,1
19,67,71,0,2,0,1,1
19,64,62,2,2,2,0,1
19,65,68,0,3,0,3,1
19,66,72,1,1,0,1,1
20,64,72,0,2,0,0,1
20,65,62,1,2,0,1,1
20,66,68,0,3,0,0,1
20,67,71,1,1,1,0,1
21,66,71,1,2,1,2,1
21,67,62,1,2,1,1,1
21,64,68,0,3,0,0,1
21,65,72,1,1,0,1,1
22,66,68,1,2,0,2,1
22,64,71,1,2,1,0,1
22,65,62,0,1,0,0,1
22,67,72,1,1,0,0,1
23,66,62,1,2,0,2,1
23,64,68,1,2,0,0,1
23,67,71,1,2,1,1,1
23,65,72,1,1,0,1,1
24,67,71,0,2,0,2,1
24,64,68,1,2,0,0,1
24,65,62,1,2,1,2,1
24,66,72,1,1,0,1,1
25,67,72,0,2,0,1,1
25,66,71,1,2,1,1,1
25,64,68,1,2,0,0,1
25,65,62,1,1,1,1,1
26,67,71,1,2,0,1,0
26,65,68,1,2,0,2,0
26,66,72,1,2,0,2,0
26,64,62,1,2,1,0,0
27,64,71,1,2,1,0,0
27,66,72,1,2,0,1,0
27,67,68,0,2,0,1,0
27,65,62,1,2,0,1,0
28,66,68,1,2,1,2,0
28,67,71,1,2,0,1,0
28,64,72,0,2,0,0,0
28,65,62,1,2,0,2,0
29,64,71,1,2,1,0,0
29,67,62,1,2,0,1,0
29,65,68,2,1,2,0,0
29,66,72,1,2,0,2,0
30,65,68,1,2,1,1,0
30,66,71,1,2,0,1,0
30,64,62,2,0,0,0,0
30,67,72,1,2,0,0,0
1,49,51,1,2,1,1,0
1,44,45,1,0,2,0,0
1,53,56,1,3,1,3,0
1,50,41,1,2,2,2,0
1,42,55,2,1,0,1,0
1,58,57,1,1,0,0,0
2,49,51,2,2,2,0,0
2,53,57,1,0,0,0,0
2,44,45,1,3,0,2,0
2,50,41,1,2,0,1,0
2,42,55,1,2,0,0,0
2,58,56,0,1,0,1,0
3,42,41,1,2,2,1,0
3,58,55,0,0,0,0,0
3,49,56,2,2,2,2,0
3,44,51,1,2,1,0,0
3,53,57,1,1,3,1,0
3,50,45,1,1,3,1,0
4,58,41,1,2,2,2,0
4,44,51,0,0,0,0,0
4,49,57,0,4,0,0,0
4,42,55,2,2,0,1,0
4,50,45,1,1,2,0,0
4,53,56,1,2,1,2,0
5,42,45,1,3,2,2,0
5,58,56,0,0,0,1,0
5,50,41,0,4,0,3,0
5,53,55,1,1,0,1,0
5,44,57,0,2,1,1,0
5,49,51,1,1,1,0,0
6,44,51,1,3,1,0,0
6,42,45,0,0,0,0,0
6,49,41,1,3,2,0,0
6,53,55,1,1,0,3,0
6,58,56,0,0,2,0,0
6,50,57,1,2,0,1,0
7,58,57,1,0,2,0,0
7,53,55,0,0,0,0,0
7,42,51,2,0,2,0,0
7,44,41,0,2,0,1,0
7,49,45,0,0,2,0,0
7,50,56,0,2,0,1,0
8,44,45,1,2,0,1,0
8,58,56,0,0,2,0,0
8,50,41,1,2,1,1,0
8,49,57,0,2,0,2,0
8,53,51,0,1,0,1,0
8,42,55,0,2,0,0,0
9,42,45,1,2,0,1,0
9,53,57,0,0,0,0,0
9,50,56,1,3,2,2,0
9,44,55,1,2,0,1,0
9,49,41,0,0,0,0,0
9,58,51,0,0,0,0,0
10,50,56,1,2,2,1,0
10,49,45,1,1,0,1,0
10,44,57,1,2,3,1,0
10,42,41,0,3,0,2,0
10,58,55,2,2,0,3,0
10,53,51,0,0,0,0,0
11,42,56,2,2,3,1,1
11,53,55,2,2,0,3,1
11,50,51,2,2,2,1,1
11,58,41,1,1,2,0,1
11,49,45,2,2,0,1,1
11,44,57,2,2,2,1,1
12,49,57,2,2,3,0,1
12,44,41,0,1,0,0,1
12,42,45,2,2,1,0,1
12,58,51,2,2,2,3,1
12,53,55,1,3,0,3,1
12,50,56,1,1,1,0,1
13,49,57,2,2,3,1,1
13,44,51,1,2,1,2,1
13,42,41,0,4,2,3,1
13,53,45,2,2,2,2,1
13,58,56,0,4,3,3,1
13,50,55,0,0,0,0,1
14,53,56,2,2,3,2,1
14,42,51,1,2,1,0,1
14,58,45,0,4,0,3,1
14,44,55,2,2,0,0,1
14,49,41,0,3,2,1,1
14,50,57,0,1,0,1,1
15,58,41,2,2,2,2,1
15,49,51,1,1,1,0,1
15,42,45,0,4,0,3,1
15,44,55,2,2,0,1,1
15,50,56,3,1,3,0,1
15,53,57,0,2,1,3,1
16,44,45,2,2,0,1,1
16,42,56,0,0,0,0,1
16,50,41,2,2,2,2,1
16,49,57,1,1,1,0,1
16,53,55,0,0,0,0,1
16,58,51,1,2,1,2,1
17,58,45,2,2,0,2,1
17,50,56,0,1,1,1,1
17,49,57,0,4,0,2,1
17,53,51,1,2,1,0,1
17,44,55,1,3,0,0,1
17,42,41,1,2,2,0,1
18,44,56,2,2,3,1,1
18,53,41,0,1,2,1,1
18,49,57,0,3,0,2,1
18,58,51,1,2,1,1,1
18,50,45,0,2,0,2,1
18,42,55,0,0,0,0,1
19,50,51,2,2,2,2,1
19,44,56,1,1,2,1,1
19,49,45,2,2,1,0,1
19,58,57,1,2,1,1,1
19,42,55,1,2,0,0,1
19,53,41,0,1,2,1,1
20,58,57,2,2,0,1,1
20,53,55,1,1,0,1,1
20,44,45,1,3,0,0,1
20,50,41,1,2,2,2,1
20,49,56,1,1,2,0,1
20,42,51,0,1,0,0,1
21,42,51,2,2,2,1,1
21,53,45,1,1,1,1,1
21,49,56,2,2,2,1,1
21,58,41,1,2,2,1,1
21,50,57,1,2,1,2,1
21,44,55,0,0,0,0,1
22,49,55,2,2,0,0,1
22,53,41,1,1,2,1,1
22,50,56,2,2,2,1,1
22,44,57,1,2,1,1,1
22,58,51,1,2,1,1,1
22,42,45,0,1,0,0,1
23,53,51,2,2,2,1,1
23,58,55,1,1,0,1,1
23,44,45,0,4,0,2,1
23,42,57,1,2,1,0,1
23,49,41,1,2,2,1,1
23,50,56,0,0,0,0,1
24,58,57,2,2,0,2,1
24,49,41,1,1,2,0,1
24,50,45,0,3,0,3,1
24,42,55,1,2,0,0,1
24,44,51,1,1,1,0,1
24,53,56,1,1,2,1,1
25,49,41,2,2,2,0,1
25,50,57,1,1,0,1,1
25,53,56,0,3,2,3,1
25,44,51,2,2,2,1,1
25,58,55,1,2,0,1,1
25,42,45,1,1,1,0,1
26,50,55,1,2,0,1,0
26,53,51,0,2,0,2,0
26,49,41,1,3,2,1,0
26,42,57,1,2,0,1,0
26,58,56,1,3,2,2,0
26,44,45,0,1,0,0,0
27,53,56,1,2,1,2,0
27,49,51,1,2,1,1,0
27,44,45,1,3,2,0,0
27,58,55,2,2,0,2,0
27,50,57,1,3,1,2,0
27,42,41,0,0,2,0,0
28,58,41,1,2,2,2,0
28,53,51,1,1,1,1,0
28,50,45,1,2,1,1,0
28,44,56,1,3,1,0,0
28,42,55,2,1,0,0,0
28,49,57,2,0,1,0,0
29,42,45,1,2,0,1,0
29,44,51,1,2,0,1,0
29,50,41,1,2,1,1,0
29,58,57,0,2,0,1,0
29,53,56,1,3,1,3,0
29,49,55,0,1,0,0,0
30,50,55,1,2,0,1,0
30,53,41,1,1,0,1,0
30,42,45,2,2,0,0,0
30,44,56,2,2,2,0,0
30,49,57,0,4,0,1,0
30,58,51,0,0,0,0,0
1,32,24,1,1,1,0,0
1,37,30,1,3,2,1,0
1,27,21,2,2,2,2,0
1,28,38,1,2,0,2,0
1,23,35,1,2,0,2,0
1,22,26,1,2,2,3,0
2,27,21,1,0,0,1,0
2,23,24,1,1,0,0,0
2,32,35,1,3,0,2,0
2,28,26,1,2,2,1,0
2,37,38,1,1,0,0,0
2,22,30,1,2,1,3,0
3,22,26,0,0,2,0,0
3,32,30,1,1,1,0,0
3,23,21,2,2,2,2,0
3,28,38,1,2,0,0,0
3,27,24,0,3,0,3,0
3,37,35,1,3,1,2,0
4,22,38,1,0,0,0,0
4,23,24,0,4,0,3,0
4,28,21,0,2,0,0,0
4,27,35,0,0,0,0,0
4,32,26,1,3,3,2,0
4,37,30,1,1,1,0,0
5,32,21,0,0,0,0,0
5,28,35,1,3,1,0,0
5,37,30,0,2,2,0,0
5,27,38,0,0,0,1,0
5,22,24,2,2,2,0,0
5,23,26,1,2,2,1,0
6,23,30,1,1,1,0,0
6,27,38,1,3,1,3,0
6,28,21,2,2,2,0,0
6,22,24,1,2,1,0,0
6,37,35,1,3,1,2,0
6,32,26,1,3,2,1,0
7,23,38,2,0,2,0,0
7,37,30,1,2,1,0,0
7,22,26,3,0,3,0,0
7,32,24,1,1,0,1,0
7,28,21,1,3,0,0,0
7,27,35,1,2,0,2,0
8,37,26,2,0,3,0,0
8,28,38,1,3,0,0,0
8,32,30,1,3,1,2,0
8,22,24,1,1,1,2,0
8,23,21,1,2,1,0,0
8,27,35,1,2,0,2,0
9,27,30,2,0,3,0,0
9,32,35,1,1,0,1,0
9,37,21,1,2,0,1,0
9,28,38,1,2,0,0,0
9,22,26,1,3,2,2,0
9,23,24,0,2,0,0,0
10,27,26,2,1,1,1,0
10,22,21,1,1,0,2,0
10,37,38,1,2,0,1,0
10,28,24,0,0,0,0,0
10,23,30,1,2,1,0,0
10,32,35,0,2,0,1,0
11,32,26,2,1,1,1,1
11,27,30,1,1,1,1,1
11,22,24,1,2,0,2,1
